A small figure expressing joy with arms raised above head in celebration, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in trench coat and helmet representing a World War I soldier, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in fringed flapper dress with feather headband representing a 1920s dancer, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with flowing hair and tie-dye clothing representing a 1960s hippie, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with mohawk and leather jacket representing a 1980s punk rocker, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with glowing neon implants and tech visor representing a cyberpunk character, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in ao dai dress and conical hat representing a Vietnamese woman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in kimono with elaborate hair pins representing a Japanese geisha, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in colorful sari with jewelry representing an Indian woman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with shield and spear in traditional garb representing an African warrior, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in feathered headdress and leather clothing representing a Native American chief, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in flowing white robe and head wrap representing a Middle Eastern person, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in tartan kilt with sword on back representing a Scottish Highland warrior, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in golden dragon robe and crown representing a Chinese emperor, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in fur-lined deel robe with bow on back representing a Mongolian horseman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in thick fur parka holding a harpoon representing an Inuit hunter, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in red wrap cloth with beaded necklace representing a Maasai warrior, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in golden headdress and silk costume in dance pose representing a Thai dancer, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in feathered carnival costume in dance pose representing a Brazilian dancer, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in hanbok dress with traditional hairstyle representing a Korean woman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in golden headdress with cobra and white dress representing an Egyptian queen, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
