A pictogram figure with both arms raised high above head in celebration pose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A tiny pictogram baby figure wrapped in blanket as newborn, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A very small pictogram toddler taking first steps with arms out, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A small pictogram child figure playing with a toy, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram teenager with backpack slung over shoulder, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A female pictogram figure in triangle dress silhouette as young woman, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A male pictogram figure in straight rectangle body as young man, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A female pictogram figure with rounded belly as pregnant woman, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A wider pictogram figure with hands on hips as middle-aged person, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure walking slowly with a cane as elderly person, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A small pictogram figure sitting in wheelchair, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Two pictogram figures standing side by side as a couple, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A family group of four pictogram figures with two adults and two small children, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A row of five pictogram figures standing in a line representing a team, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Three pictogram figures in different sizes representing growth stages, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A large crowd of many small pictogram figures packed together, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Two pictogram figures shaking hands in business agreement, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing on a podium above two shorter podiums, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Three pictogram figures holding hands in a chain, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure leading four smaller figures in a row as leader, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Two pictogram figures facing each other in conversation, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A circle formation of six pictogram figures holding hands, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure helping another figure stand up, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Three pictogram figures with speech arrows between them in discussion, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A large pictogram figure with five small figures around it as mentor, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
Two rows of pictogram figures facing each other as opposing teams, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing at a crossroads with paths branching, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure climbing stairs step by step upward, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing on top of a mountain peak with flag, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure pushing a large round boulder uphill, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing under a rain cloud with umbrella, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure opening a door and stepping through, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing on a tightrope balancing with arms, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure jumping across a gap between two platforms, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure standing behind a podium giving a speech, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure rowing a small boat with oar, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure building a brick wall placing blocks, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure watering a small plant that is growing, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure looking through a telescope, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure holding up a trophy above their head, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting at a table with chess pieces playing chess, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
